id,video_id,scenario_num,video_name,group,ego_car,target_car,video_name,video_length,min_dur,max_dur,criticality,events,events_id,events_name,events_description,description
0,V0,0,Scenario_0_MDV_driver_encounters_MDV_target_car,0,0,0,0,36000,35000,37000,0,[],[],[],[],Baseline traffic situation of driving with ego vehicle as AV
1,V1,1,Scenario_1_MDV_driver_encounters_MDV_target_car,0,0,0,0,33000,32000,34000,1,"[7050,9850,15166,15166,15166,27000]","[1,2,2,1,3,3]","[Represents the period when the target car has its indicator on,The target car changes its lane,The target car overtakes the ego car]","[target_car_turns_on_indicator-start,target_car_lanechange-start,target_car_lanechange-finish,target_car_turns_on_indicator-finish,target_car_overtakes_ego_car-start,target_car_overtakes_ego_car-finish]",The ego car is overtaken by the target car from the inside
2,V2,2,Scenario_2_MDV_driver_encounters_MDV_target_car,0,0,0,0,34000,33000,35000,1,"[1000,16200,16200,35000]","[1,1,2,2]","[The target car approaches the ego car,The target car tailgates the ego car]","[target_car_approaching-start,target_car_approaching-finish,target_car_maintains_short_gap-start,target_car_maintains_short_gap-finish]",The target car tailgates the ego car
3,V3,3,Scenario_3_MDV_driver_encounters_MDV_target_car,0,0,0,0,36000,35000,37000,2,"[11500,12816,13716,15716]","[1,2,1,2]","[A red car in front of the target car brakes,The target car in front of the ego car brakes]","[red_car_brakes-start,target_car_brakes-start,red_car_brakes-finish,target_car_brakes-finish]",The target car brakes abruptly to avoid collision
4,V4,4,Scenario_4_MDV_driver_encounters_MDV_target_car,0,0,0,0,38000,37000,39000,2,"[14333,16400]","[1,1]",[The target car brakes],"[target_car_brakes-start,target_car_brakes-finish]",The target car brakes abruptly
5,V5,5,Scenario_5_MDV_driver_encounters_MDV_target_car,0,0,0,0,35000,34000,36000,0,"[1000,9083,9083,17000]","[1,2,2,1]","[The target car is waiting at the intersection,Represents the moment when the traffic lights turn green]","[target_car_standstill-start,traffic_light_change_green_start,traffic_light_change_green_finish,target_car_standstill-finish]",The target car starts late when traffic lights turn green
6,V6,6,Scenario_6_MDV_driver_encounters_MDV_target_car,0,0,0,1,35000,34000,36000,0,"[1000,9083,9083,17000]","[1,2,2,1]","[The target car is waiting at the intersection,Represents the moment when the traffic lights turn green]","[target_car_standstill-start,traffic_light_in_green-start,target_car_standstill-finish]",The target car starts late when traffic lights turn green with a pedestrian
7,V7,7,Scenario_7_MDV_driver_encounters_MDV_target_car,0,0,0,0,25000,24000,26000,2,"[7050,10000,13633,15000]","[1,2,1,2]","[Represents the period when the target car has its indicators on,The target car cuts off the ego car from the right lane.]","[target_car_turns_on_indicator-start,target_car_cuts_off-start,target_car_turns_on_indicator-end,target_car_cuts_off-start]",The target car cuts off from the right lane
8,V8,8,Scenario_8_MDV_driver_encounters_MDV_target_car,0,0,0,0,38000,37000,39000,1,"[9000,30500]","[1,1]",[The target car is zigzagging in the traffic flow],"[change_lane-start,change_lane-finish]",The target car is zigzagging
9,V9,9,Scenario_9_MDV_driver_encounters_MDV_target_car,0,0,0,0,24000,23000,25000,0,"[10616,12350]","[1,1]",[Represents the period when the target car has its headlights blinking],"[targetcarheadlightblinking-start,targetcarheadlightblinking-finish]",The target car flashes lights to the ego car
10,V10,10,Scenario_10_MDV_driver_encounters_MDV_target_car,0,0,0,0,35000,34000,36000,1,"[1000,6033,24300,24300,28283,28283]","[1,2,1,3,2,3]","[The platoon of target cars are passing by the ego car,Represents the period when the ego car has its turning indicators on,The ego car changes the lane]","[target_cars_passing_by-start,ego_car_turns_on_indicator-start,target_cars_passing_by-finish,ego_car_lane_change-start,ego_car_turns_on_indicator-finish,ego_car_lane_change-finish]",The ego car’s changing lane is prevented by a platoon of AVs
11,V11,11,Scenario_11_MDV_driver_encounters_MDV_target_car,0,0,0,0,31000,30000,32000,0,"[1000,32000]","[1,1]",[The target car is driving slowly in front of the ego car],"[ego_car_approaches-start,ego_car_approaches-finish]",The target car drives slowly in front of the ego car
12,V12,12,Scenario_12_MDV_driver_encounters_MDV_target_car,0,0,0,0,26000,25000,27000,0,"[8116,11750,16166,16166]","[1,2,2,1]","[Represents the period when the target car has its indicator on,The target car and change its lane to let ego car pass first]","[target_car_turns_indicator_on-start,target_car_changes_lane3_to_lane2-start,target_car_changes_lane3_to_lane2-finish,target_car_turns_indicator_on-finish]",The target car changes lanes to let the ego car behind overtake
13,V13,13,Scenario_13_MDV_driver_encounters_MDV_target_car,0,0,0,0,31000,30000,32000,0,"[10333,11500,14083,18750]","[1,2,1,2]","[Represents the period when the target car has its indicator on,The target car changes its lane and goes back to the lane]","[target_car_turns_indicator_on-start,target_car_changes_lane-start,target_car_turns_indicator_on-finish,target_car_changes_lane-finish]",The target car attempts to move from the centre to the left lane but goes back to the centre lane so as not to block an ego car behind
14,V14,14,Scenario_14_MDV_driver_encounters_MDV_target_car,0,0,0,0,43000,42000,44000,0,"[16300,16300,22250,28000]","[1,2,2,1]","[Represents the period when the target car has its indicator on,The target car decelerates to let the ego car merge lane]","[target_cars_turn_on_indicators-start,target_cars_deceleration-start,ego_car_merge_lane-start,ego_car_merge_lane-finish]",The platoon of AVs lower the speed to let the ego car change lane
15,V15,15,Scenario_15_MDV_driver_encounters_MDV_target_car,0,0,0,1,23000,22000,24000,1,"[1000,3100,4416,7750,13866,15250]","[1,2,3,1,2,3]","[A pedestrian crosses the road,The target car brakes and stops,The ego car brakes and stops.]","[pedestrian_crosses_the_road-start,target_car_brakes-start,ego_car_brakes-start,target_car_brakes-finish,ego_car_brakes-finish,pedestrian_crosses_the_road-finish,target_car_stops-finish,ego_car_stops-finish]",The target car is waiting for pedestrians to cross the road
16,V16,16,Scenario_16_MDV_driver_encounters_MDV_target_car,0,0,0,0,24000,23000,25000,0,[],[],[],[],the target car follows its front car with a too large gap
17,V17,17,Scenario_17_MDV_driver_encounters_MDV_target_car,0,0,0,0,36000,35000,37000,0,"[18550,18550]","[1,1]",[The target car passes the intersection],"[ego_car_approaches_intersection-start,target_car_approaches_intersection-start,traffic_lights_in_red-start,ego_car_approaches_intersection-finish,traffic_lights_in_red-finish,traffic_lights_in_green-start,target_car_approaches_intersection-finish,target_car_passes_intersection-start,target_car_passes_intersection-finish,ego_car_starts-start,ego_car_starts-finish]",The target car passes the intersection exactly at the time when the light changes without deceleration
18,V18,18,Scenario_18_MDV_driver_encounters_MDV_target_car,0,0,0,0,29000,28000,30000,0,"[8000,10333,11066,17500,17500,19666]","[1,2,2,1,3,3]","[The target car overtakes the ego car,The ego car decelerates to let target car overtake,The target car cancels its overtaking and moves back to its lane]","[targetcarindicator-start,egocardecelerates-start,egocardecelerates-finish,channgelane2tolane3-start,channgelane2tolane3-finish,changelane3tolane2-start,channgelane3tolane2-finish]",The target car plans to overtake but canceled the process and move back
19,V19,19,Scenario_19_MDV_driver_encounters_MDV_target_car,0,0,0,0,16000,15000,17000,1,"[1000,4016,16000,16000]","[1,2,2,1]","[The target car drives 60kph,The car behind the target car decelerates because of the target car’s speed]","[target_car_drives_60kph-start,the_red_car_behind_target_car_brakes-start,target_car_drives_60kph-finish,the_red_car_behind_target_car_brakes-finish]",The target car obeys the speed limit when the traffic flow drive at around 70
